class,precision,recall,f1-score,support
BENIGN,0.9998748216208097,0.99845,0.9991619028557848,40000.0
Bot,0.9443099273607748,0.9974424552429667,0.9701492537313433,391.0
DDoS,0.9996486022177105,0.9999218902558095,0.9997852275611613,25605.0
DoS GoldenEye,0.9865771812080537,0.9995143273433705,0.9930036188178528,2059.0
DoS Hulk,0.9996957249353415,0.9993916349809886,0.9995436568299361,46025.0
DoS Slowhttptest,0.9927536231884058,0.9963636363636363,0.9945553539019963,1100.0
DoS slowloris,0.9956896551724138,0.996548748921484,0.9961190168175937,1159.0
FTP-Patator,1.0,1.0,1.0,1587.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,1.0,1.0,7.0
PortScan,0.9994333207404609,0.999527722678757,0.9994805194805195,31761.0
SSH-Patator,1.0,1.0,1.0,1180.0
Web Attack � Brute Force,0.7445482866043613,0.7913907284768212,0.7672552166934189,302.0
Web Attack � Sql Injection,0.6,0.75,0.6666666666666666,4.0
Web Attack � XSS,0.4358974358974359,0.3923076923076923,0.41295546558704455,130.0
accuracy,0.9982816960981283,0.9982816960981283,0.9982816960981283,0.9982816960981283
macro avg,0.9132285719297178,0.9280572557714352,0.9199117265962211,151312.0
weighted avg,0.9982786157580524,0.9982816960981283,0.9982749024699072,151312.0
